[2026/09/25 14:40:19:8938] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 14:40:19:8942] N: tty configuration:
[2026/09/25 14:40:19:8942] N:   start command: /tmp/tcc-muhhigaw/attach.sh
[2026/09/25 14:40:19:8942] N:   close signal: SIGHUP (1)
[2026/09/25 14:40:19:8942] N:   terminal type: xterm-256color
[2026/09/25 14:40:19:8942] N:   allow url arg: true
[2026/09/25 14:40:19:8947] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 14:40:19:8989] N: elops_init_pt_uv:  Using foreign event loop...
[2026/09/25 14:40:19:8990] W: callback_lws_sshd_demo: Can't open /etc/lws-test-sshd-server-key
[2026/09/25 14:40:19:8990] W: ssh pvo "ops" is mandatory
[2026/09/25 14:40:19:8990] W: callback_raw_test: Missing pvo "fifo-path", raw file fd testing disabled
[2026/09/25 14:40:19:8990] W: handler_server_protocol_init: requires 'upload-dir' pvo
[2026/09/25 14:40:19:9010] N: [null wsi]: lws_socket_bind: vh default unix skt /tmp/tcc-muhhigaw/ttyd.sock perms 4294967295:4294967295
[2026/09/25 14:40:19:9010] N: [vh|2|default|/tmp/tcc-muhhigaw/ttyd.sock|/tmp/tcc-muhhigaw/tt]: lws_socket_bind: source ads (unix skt)
[2026/09/25 14:40:19:9010] N:  Listening on port: 0
[2026/09/25 14:40:19:9664] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 14:40:19:9665] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 14:40:19:9665] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 14:40:19:9665] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 14:40:19:9665] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 14:40:19:9666] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 14:40:19:9666] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 14:40:19:9670] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 14:40:19:9670] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 14:40:19:9692] N: started process, pid: 26961
[2026/09/25 14:40:19:9696] N: started process, pid: 26962
[2026/09/25 14:40:19:9697] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 14:40:19:9701] N: started process, pid: 26963
[2026/09/25 14:40:19:9708] N: started process, pid: 26964
[2026/09/25 14:40:19:9714] N: started process, pid: 26965
[2026/09/25 14:40:19:9717] N: started process, pid: 26966
[2026/09/25 14:40:19:9722] N: started process, pid: 26967
[2026/09/25 14:40:19:9727] N: started process, pid: 26968
[2026/09/25 14:40:19:9732] N: started process, pid: 26969
[2026/09/25 14:40:19:9738] N: started process, pid: 26970
[2026/09/25 14:40:20:1507] N: WS closed from (unix skt), clients: 9
[2026/09/25 14:40:20:1508] N: killing process, pid: 26964
[2026/09/25 14:40:20:1510] N: process killed with signal 1, pid: 26964
[2026/09/25 14:40:20:2201] N: WS closed from (unix skt), clients: 8
[2026/09/25 14:40:20:2202] N: killing process, pid: 26969
[2026/09/25 14:40:20:2205] N: process killed with signal 1, pid: 26969
[2026/09/25 14:40:20:4075] N: WS closed from (unix skt), clients: 7
[2026/09/25 14:40:20:4075] N: killing process, pid: 26967
[2026/09/25 14:40:20:4080] N: process killed with signal 0, pid: 26967
[2026/09/25 14:40:20:4377] N: WS closed from (unix skt), clients: 6
[2026/09/25 14:40:20:4377] N: killing process, pid: 26962
[2026/09/25 14:40:20:4381] N: process killed with signal 0, pid: 26962
[2026/09/25 14:40:20:4479] N: WS closed from (unix skt), clients: 5
[2026/09/25 14:40:20:4480] N: killing process, pid: 26966
[2026/09/25 14:40:20:4483] N: process killed with signal 0, pid: 26966
[2026/09/25 14:40:20:4702] N: WS closed from (unix skt), clients: 4
[2026/09/25 14:40:20:4702] N: killing process, pid: 26961
[2026/09/25 14:40:20:4706] N: process killed with signal 0, pid: 26961
[2026/09/25 14:40:20:9591] N: WS closed from (unix skt), clients: 3
[2026/09/25 14:40:20:9592] N: killing process, pid: 26963
[2026/09/25 14:40:20:9597] N: process killed with signal 0, pid: 26963
[2026/09/25 14:40:20:9710] N: WS closed from (unix skt), clients: 2
[2026/09/25 14:40:20:9711] N: killing process, pid: 26968
[2026/09/25 14:40:20:9717] N: process killed with signal 0, pid: 26968
[2026/09/25 14:40:21:9698] N: WS closed from (unix skt), clients: 1
[2026/09/25 14:40:21:9700] N: killing process, pid: 26965
[2026/09/25 14:40:21:9702] N: WS closed from (unix skt), clients: 0
[2026/09/25 14:40:21:9702] N: killing process, pid: 26970
[2026/09/25 14:40:21:9721] N: process killed with signal 0, pid: 26965
[2026/09/25 14:40:21:9743] N: process killed with signal 0, pid: 26970
[2026/09/25 14:40:22:0030] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 14:40:22:0031] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 14:40:22:0031] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 14:40:22:0031] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 14:40:22:0031] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 14:40:22:0031] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 14:40:22:0031] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 14:40:22:0032] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 14:40:22:0032] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 14:40:22:0032] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 14:40:22:0046] N: started process, pid: 27368
[2026/09/25 14:40:22:0055] N: started process, pid: 27369
[2026/09/25 14:40:22:0062] N: started process, pid: 27370
[2026/09/25 14:40:22:0073] N: started process, pid: 27371
[2026/09/25 14:40:22:0088] N: started process, pid: 27372
[2026/09/25 14:40:22:0097] N: started process, pid: 27373
[2026/09/25 14:40:22:0112] N: started process, pid: 27374
[2026/09/25 14:40:22:0127] N: started process, pid: 27376
[2026/09/25 14:40:22:0154] N: started process, pid: 27383
[2026/09/25 14:40:22:0181] N: started process, pid: 27389
[2026/09/25 14:40:22:1546] N: WS closed from (unix skt), clients: 9
[2026/09/25 14:40:22:1547] N: killing process, pid: 27371
[2026/09/25 14:40:22:1550] N: process killed with signal 1, pid: 27371
[2026/09/25 14:40:22:1788] N: WS closed from (unix skt), clients: 8
[2026/09/25 14:40:22:1788] N: killing process, pid: 27383
[2026/09/25 14:40:22:1792] N: process killed with signal 1, pid: 27383
[2026/09/25 14:40:22:2655] N: WS closed from (unix skt), clients: 7
[2026/09/25 14:40:22:2655] N: killing process, pid: 27368
[2026/09/25 14:40:22:2659] N: process killed with signal 0, pid: 27368
[2026/09/25 14:40:22:3146] N: WS closed from (unix skt), clients: 6
[2026/09/25 14:40:22:3146] N: killing process, pid: 27369
[2026/09/25 14:40:22:3150] N: process killed with signal 0, pid: 27369
[2026/09/25 14:40:22:3688] N: WS closed from (unix skt), clients: 5
[2026/09/25 14:40:22:3689] N: killing process, pid: 27374
[2026/09/25 14:40:22:3692] N: process killed with signal 0, pid: 27374
[2026/09/25 14:40:22:3927] N: WS closed from (unix skt), clients: 4
[2026/09/25 14:40:22:3927] N: killing process, pid: 27373
[2026/09/25 14:40:22:3930] N: process killed with signal 0, pid: 27373
[2026/09/25 14:40:22:8461] N: WS closed from (unix skt), clients: 3
[2026/09/25 14:40:22:8461] N: killing process, pid: 27370
[2026/09/25 14:40:22:8469] N: process killed with signal 0, pid: 27370
[2026/09/25 14:40:22:8954] N: WS closed from (unix skt), clients: 2
[2026/09/25 14:40:22:8954] N: killing process, pid: 27376
[2026/09/25 14:40:22:8966] N: process killed with signal 0, pid: 27376
[2026/09/25 14:40:24:0045] N: WS closed from (unix skt), clients: 1
[2026/09/25 14:40:24:0045] N: killing process, pid: 27372
[2026/09/25 14:40:24:0045] N: WS closed from (unix skt), clients: 0
[2026/09/25 14:40:24:0046] N: killing process, pid: 27389
[2026/09/25 14:40:24:0058] N: process killed with signal 0, pid: 27372
[2026/09/25 14:40:24:0058] N: process killed with signal 0, pid: 27389
[2026/09/25 14:40:24:0167] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 14:40:24:0167] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 14:40:24:0168] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 14:40:24:0181] N: started process, pid: 27682
[2026/09/25 14:40:24:0197] N: started process, pid: 27683
[2026/09/25 14:40:24:0205] N: started process, pid: 27684
[2026/09/25 14:40:24:0211] N: started process, pid: 27685
[2026/09/25 14:40:24:0225] N: started process, pid: 27686
[2026/09/25 14:40:24:0236] N: started process, pid: 27687
[2026/09/25 14:40:24:0249] N: started process, pid: 27688
[2026/09/25 14:40:24:0261] N: started process, pid: 27693
[2026/09/25 14:40:24:0273] N: started process, pid: 27696
[2026/09/25 14:40:24:0299] N: started process, pid: 27701
[2026/09/25 14:40:24:1920] N: WS closed from (unix skt), clients: 9
[2026/09/25 14:40:24:1921] N: killing process, pid: 27686
[2026/09/25 14:40:24:1924] N: process killed with signal 1, pid: 27686
[2026/09/25 14:40:24:1929] N: WS closed from (unix skt), clients: 8
[2026/09/25 14:40:24:1929] N: killing process, pid: 27701
[2026/09/25 14:40:24:1935] N: process killed with signal 1, pid: 27701
[2026/09/25 14:40:24:3054] N: WS closed from (unix skt), clients: 7
[2026/09/25 14:40:24:3054] N: killing process, pid: 27682
[2026/09/25 14:40:24:3055] N: WS closed from (unix skt), clients: 6
[2026/09/25 14:40:24:3055] N: killing process, pid: 27684
[2026/09/25 14:40:24:3060] N: process killed with signal 0, pid: 27682
[2026/09/25 14:40:24:3061] N: process killed with signal 0, pid: 27684
[2026/09/25 14:40:24:3587] N: WS closed from (unix skt), clients: 5
[2026/09/25 14:40:24:3588] N: killing process, pid: 27688
[2026/09/25 14:40:24:3595] N: process killed with signal 0, pid: 27688
[2026/09/25 14:40:24:3931] N: WS closed from (unix skt), clients: 4
[2026/09/25 14:40:24:3931] N: killing process, pid: 27693
[2026/09/25 14:40:24:3937] N: process killed with signal 0, pid: 27693
[2026/09/25 14:40:24:8445] N: WS closed from (unix skt), clients: 3
[2026/09/25 14:40:24:8446] N: killing process, pid: 27685
[2026/09/25 14:40:24:8474] N: process killed with signal 0, pid: 27685
[2026/09/25 14:40:24:8736] N: WS closed from (unix skt), clients: 2
[2026/09/25 14:40:24:8737] N: killing process, pid: 27696
[2026/09/25 14:40:24:8745] N: process killed with signal 0, pid: 27696
[2026/09/25 14:40:26:0189] N: WS closed from (unix skt), clients: 1
[2026/09/25 14:40:26:0190] N: killing process, pid: 27687
[2026/09/25 14:40:26:0190] N: WS closed from (unix skt), clients: 0
[2026/09/25 14:40:26:0191] N: killing process, pid: 27683
[2026/09/25 14:40:26:0210] N: process killed with signal 0, pid: 27683
[2026/09/25 14:40:26:0211] N: process killed with signal 0, pid: 27687
[2026/09/25 14:40:26:0312] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 14:40:26:0313] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 14:40:26:0314] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 14:40:26:0328] N: started process, pid: 28139
[2026/09/25 14:40:26:0335] N: started process, pid: 28141
[2026/09/25 14:40:26:0343] N: started process, pid: 28142
[2026/09/25 14:40:26:0354] N: started process, pid: 28143
[2026/09/25 14:40:26:0362] N: started process, pid: 28144
[2026/09/25 14:40:26:0378] N: started process, pid: 28145
[2026/09/25 14:40:26:0395] N: started process, pid: 28148
[2026/09/25 14:40:26:0408] N: started process, pid: 28158
[2026/09/25 14:40:26:0433] N: started process, pid: 28161
[2026/09/25 14:40:26:0456] N: started process, pid: 28165
[2026/09/25 14:40:26:1294] N: WS closed from (unix skt), clients: 9
[2026/09/25 14:40:26:1295] N: killing process, pid: 28143
[2026/09/25 14:40:26:1298] N: process killed with signal 1, pid: 28143
[2026/09/25 14:40:26:2008] N: WS closed from (unix skt), clients: 8
[2026/09/25 14:40:26:2008] N: killing process, pid: 28161
[2026/09/25 14:40:26:2011] N: process killed with signal 1, pid: 28161
[2026/09/25 14:40:26:3170] N: WS closed from (unix skt), clients: 7
[2026/09/25 14:40:26:3171] N: killing process, pid: 28141
[2026/09/25 14:40:26:3171] N: WS closed from (unix skt), clients: 6
[2026/09/25 14:40:26:3171] N: killing process, pid: 28139
[2026/09/25 14:40:26:3176] N: process killed with signal 0, pid: 28139
[2026/09/25 14:40:26:3176] N: process killed with signal 0, pid: 28141
[2026/09/25 14:40:26:3704] N: WS closed from (unix skt), clients: 5
[2026/09/25 14:40:26:3705] N: killing process, pid: 28145
[2026/09/25 14:40:26:3710] N: process killed with signal 0, pid: 28145
[2026/09/25 14:40:26:4017] N: WS closed from (unix skt), clients: 4
[2026/09/25 14:40:26:4017] N: killing process, pid: 28148
[2026/09/25 14:40:26:4021] N: process killed with signal 0, pid: 28148
[2026/09/25 14:40:26:8188] N: WS closed from (unix skt), clients: 3
[2026/09/25 14:40:26:8189] N: killing process, pid: 28142
[2026/09/25 14:40:26:8198] N: process killed with signal 0, pid: 28142
[2026/09/25 14:40:26:8924] N: WS closed from (unix skt), clients: 2
[2026/09/25 14:40:26:8925] N: killing process, pid: 28158
[2026/09/25 14:40:26:8936] N: process killed with signal 0, pid: 28158
[2026/09/25 14:40:28:0336] N: WS closed from (unix skt), clients: 1
[2026/09/25 14:40:28:0337] N: killing process, pid: 28144
[2026/09/25 14:40:28:0338] N: WS closed from (unix skt), clients: 0
[2026/09/25 14:40:28:0338] N: killing process, pid: 28165
[2026/09/25 14:40:28:0355] N: process killed with signal 0, pid: 28144
[2026/09/25 14:40:28:0356] N: process killed with signal 0, pid: 28165
[2026/09/25 14:40:28:0485] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 14:40:28:0485] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 14:40:28:0485] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 14:40:28:0485] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 14:40:28:0486] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 14:40:28:0486] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 14:40:28:0486] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 14:40:28:0486] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 14:40:28:0486] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 14:40:28:0486] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 14:40:28:0504] N: started process, pid: 28612
[2026/09/25 14:40:28:0515] N: started process, pid: 28613
[2026/09/25 14:40:28:0527] N: started process, pid: 28614
[2026/09/25 14:40:28:0540] N: started process, pid: 28615
[2026/09/25 14:40:28:0582] N: started process, pid: 28616
[2026/09/25 14:40:28:0598] N: started process, pid: 28617
[2026/09/25 14:40:28:0625] N: started process, pid: 28618
[2026/09/25 14:40:28:0640] N: started process, pid: 28628
[2026/09/25 14:40:28:0660] N: started process, pid: 28631
[2026/09/25 14:40:28:0671] N: started process, pid: 28634
[2026/09/25 14:40:28:2311] N: WS closed from (unix skt), clients: 9
[2026/09/25 14:40:28:2311] N: killing process, pid: 28631
[2026/09/25 14:40:28:2316] N: process killed with signal 1, pid: 28631
[2026/09/25 14:40:28:2449] N: WS closed from (unix skt), clients: 8
[2026/09/25 14:40:28:2449] N: killing process, pid: 28615
[2026/09/25 14:40:28:2453] N: process killed with signal 1, pid: 28615
[2026/09/25 14:40:28:3104] N: WS closed from (unix skt), clients: 7
[2026/09/25 14:40:28:3105] N: killing process, pid: 28613
[2026/09/25 14:40:28:3109] N: process killed with signal 0, pid: 28613
[2026/09/25 14:40:28:3566] N: WS closed from (unix skt), clients: 6
[2026/09/25 14:40:28:3566] N: killing process, pid: 28612
[2026/09/25 14:40:28:3571] N: process killed with signal 0, pid: 28612
[2026/09/25 14:40:28:4200] N: WS closed from (unix skt), clients: 5
[2026/09/25 14:40:28:4200] N: killing process, pid: 28617
[2026/09/25 14:40:28:4206] N: process killed with signal 0, pid: 28617
[2026/09/25 14:40:28:4652] N: WS closed from (unix skt), clients: 4
[2026/09/25 14:40:28:4653] N: killing process, pid: 28618
[2026/09/25 14:40:28:4703] N: process killed with signal 0, pid: 28618
[2026/09/25 14:40:28:8429] N: WS closed from (unix skt), clients: 3
[2026/09/25 14:40:28:8429] N: killing process, pid: 28614
[2026/09/25 14:40:28:8434] N: process killed with signal 0, pid: 28614
[2026/09/25 14:40:28:9346] N: WS closed from (unix skt), clients: 2
[2026/09/25 14:40:28:9347] N: killing process, pid: 28628
[2026/09/25 14:40:28:9351] N: process killed with signal 0, pid: 28628
[2026/09/25 14:40:30:0499] N: WS closed from (unix skt), clients: 1
[2026/09/25 14:40:30:0499] N: killing process, pid: 28616
[2026/09/25 14:40:30:0499] N: WS closed from (unix skt), clients: 0
[2026/09/25 14:40:30:0499] N: killing process, pid: 28634
[2026/09/25 14:40:30:0506] N: process killed with signal 0, pid: 28616
[2026/09/25 14:40:30:0506] N: process killed with signal 0, pid: 28634
[2026/09/25 14:40:30:0578] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 14:40:30:0578] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 14:40:30:0579] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 14:40:30:0579] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 14:40:30:0580] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 14:40:30:0580] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 14:40:30:0580] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 14:40:30:0580] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 14:40:30:0580] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 14:40:30:0580] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 14:40:30:0591] N: started process, pid: 28913
[2026/09/25 14:40:30:0599] N: started process, pid: 28914
[2026/09/25 14:40:30:0605] N: started process, pid: 28915
[2026/09/25 14:40:30:0611] N: started process, pid: 28916
[2026/09/25 14:40:30:0624] N: started process, pid: 28918
[2026/09/25 14:40:30:0638] N: started process, pid: 28919
[2026/09/25 14:40:30:0644] N: started process, pid: 28923
[2026/09/25 14:40:30:0655] N: started process, pid: 28926
[2026/09/25 14:40:30:0665] N: started process, pid: 28928
[2026/09/25 14:40:30:0675] N: started process, pid: 28929
[2026/09/25 14:40:30:2415] N: WS closed from (unix skt), clients: 9
[2026/09/25 14:40:30:2415] N: killing process, pid: 28916
[2026/09/25 14:40:30:2418] N: process killed with signal 1, pid: 28916
[2026/09/25 14:40:30:2889] N: WS closed from (unix skt), clients: 8
[2026/09/25 14:40:30:2890] N: killing process, pid: 28928
[2026/09/25 14:40:30:2893] N: process killed with signal 1, pid: 28928
[2026/09/25 14:40:30:3693] N: WS closed from (unix skt), clients: 7
[2026/09/25 14:40:30:3693] N: killing process, pid: 28913
[2026/09/25 14:40:30:3702] N: process killed with signal 0, pid: 28913
[2026/09/25 14:40:30:4102] N: WS closed from (unix skt), clients: 6
[2026/09/25 14:40:30:4102] N: killing process, pid: 28914
[2026/09/25 14:40:30:4106] N: process killed with signal 0, pid: 28914
[2026/09/25 14:40:30:4323] N: WS closed from (unix skt), clients: 5
[2026/09/25 14:40:30:4324] N: killing process, pid: 28923
[2026/09/25 14:40:30:4334] N: process killed with signal 0, pid: 28923
[2026/09/25 14:40:30:4887] N: WS closed from (unix skt), clients: 4
[2026/09/25 14:40:30:4887] N: killing process, pid: 28919
[2026/09/25 14:40:30:4895] N: process killed with signal 0, pid: 28919
[2026/09/25 14:40:30:8845] N: WS closed from (unix skt), clients: 3
[2026/09/25 14:40:30:8846] N: killing process, pid: 28915
[2026/09/25 14:40:30:8851] N: process killed with signal 0, pid: 28915
[2026/09/25 14:40:30:8995] N: WS closed from (unix skt), clients: 2
[2026/09/25 14:40:30:8996] N: killing process, pid: 28926
[2026/09/25 14:40:30:9090] N: process killed with signal 0, pid: 28926
[2026/09/25 14:40:32:0588] N: WS closed from (unix skt), clients: 1
[2026/09/25 14:40:32:0588] N: killing process, pid: 28918
[2026/09/25 14:40:32:0588] N: WS closed from (unix skt), clients: 0
[2026/09/25 14:40:32:0588] N: killing process, pid: 28929
[2026/09/25 14:40:32:0596] N: process killed with signal 0, pid: 28918
[2026/09/25 14:40:32:0599] N: process killed with signal 0, pid: 28929
[2026/09/25 14:40:32:0699] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 14:40:32:0699] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 14:40:32:0700] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 14:40:32:0700] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 14:40:32:0700] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 14:40:32:0700] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 14:40:32:0700] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 14:40:32:0700] N: WS   /ws - (unix skt), clients: 8
