[2026/09/25 17:50:01:6898] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 17:50:01:6901] N: tty configuration:
[2026/09/25 17:50:01:6901] N:   start command: /tmp/tcc-muhoaejx/attach.sh
[2026/09/25 17:50:01:6901] N:   close signal: SIGHUP (1)
[2026/09/25 17:50:01:6901] N:   terminal type: xterm-256color
[2026/09/25 17:50:01:6901] N:   allow url arg: true
[2026/09/25 17:50:01:6901] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 17:50:01:6914] N: elops_init_pt_uv:  Using foreign event loop...
[2026/09/25 17:50:01:6925] N: [null wsi]: lws_socket_bind: vh default unix skt /tmp/tcc-muhoaejx/ttyd.sock perms 4294967295:4294967295
[2026/09/25 17:50:01:6926] N: [vh|2|default|/tmp/tcc-muhoaejx/ttyd.sock|/tmp/tcc-muhoaejx/tt]: lws_socket_bind: source ads (unix skt)
[2026/09/25 17:50:01:6926] N:  Listening on port: 0
[2026/09/25 17:50:01:7190] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:01:7191] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:01:7191] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:01:7191] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:01:7191] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:01:7191] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:01:7191] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:01:7191] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:01:7192] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:01:7193] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:01:7204] N: started process, pid: 86910
[2026/09/25 17:50:01:7211] N: started process, pid: 86911
[2026/09/25 17:50:01:7215] N: started process, pid: 86912
[2026/09/25 17:50:01:7221] N: started process, pid: 86913
[2026/09/25 17:50:01:7226] N: started process, pid: 86914
[2026/09/25 17:50:01:7230] N: started process, pid: 86915
[2026/09/25 17:50:01:7234] N: started process, pid: 86916
[2026/09/25 17:50:01:7238] N: started process, pid: 86917
[2026/09/25 17:50:01:7243] N: started process, pid: 86918
[2026/09/25 17:50:01:7248] N: started process, pid: 86919
[2026/09/25 17:50:01:9842] N: WS closed from (unix skt), clients: 9
[2026/09/25 17:50:01:9843] N: killing process, pid: 86913
[2026/09/25 17:50:01:9845] N: process killed with signal 1, pid: 86913
[2026/09/25 17:50:02:0416] N: WS closed from (unix skt), clients: 8
[2026/09/25 17:50:02:0416] N: killing process, pid: 86918
[2026/09/25 17:50:02:0419] N: process killed with signal 1, pid: 86918
[2026/09/25 17:50:02:1976] N: WS closed from (unix skt), clients: 7
[2026/09/25 17:50:02:1976] N: killing process, pid: 86911
[2026/09/25 17:50:02:1976] N: WS closed from (unix skt), clients: 6
[2026/09/25 17:50:02:1976] N: killing process, pid: 86916
[2026/09/25 17:50:02:1981] N: process killed with signal 0, pid: 86916
[2026/09/25 17:50:02:1981] N: process killed with signal 0, pid: 86911
[2026/09/25 17:50:02:2223] N: WS closed from (unix skt), clients: 5
[2026/09/25 17:50:02:2223] N: killing process, pid: 86915
[2026/09/25 17:50:02:2228] N: process killed with signal 0, pid: 86915
[2026/09/25 17:50:02:2410] N: WS closed from (unix skt), clients: 4
[2026/09/25 17:50:02:2410] N: killing process, pid: 86910
[2026/09/25 17:50:02:2415] N: process killed with signal 0, pid: 86910
[2026/09/25 17:50:02:6995] N: WS closed from (unix skt), clients: 3
[2026/09/25 17:50:02:6996] N: killing process, pid: 86912
[2026/09/25 17:50:02:7013] N: process killed with signal 0, pid: 86912
[2026/09/25 17:50:02:7123] N: WS closed from (unix skt), clients: 2
[2026/09/25 17:50:02:7124] N: killing process, pid: 86917
[2026/09/25 17:50:02:7135] N: process killed with signal 0, pid: 86917
[2026/09/25 17:50:03:7210] N: WS closed from (unix skt), clients: 1
[2026/09/25 17:50:03:7211] N: killing process, pid: 86914
[2026/09/25 17:50:03:7211] N: WS closed from (unix skt), clients: 0
[2026/09/25 17:50:03:7211] N: killing process, pid: 86919
[2026/09/25 17:50:03:7226] N: process killed with signal 0, pid: 86914
[2026/09/25 17:50:03:7227] N: process killed with signal 0, pid: 86919
[2026/09/25 17:50:03:7365] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:03:7365] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:03:7366] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:03:7366] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:03:7366] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:03:7366] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:03:7366] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:03:7366] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:03:7366] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:03:7367] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:03:7376] N: started process, pid: 87295
[2026/09/25 17:50:03:7383] N: started process, pid: 87296
[2026/09/25 17:50:03:7389] N: started process, pid: 87297
[2026/09/25 17:50:03:7397] N: started process, pid: 87298
[2026/09/25 17:50:03:7406] N: started process, pid: 87299
[2026/09/25 17:50:03:7413] N: started process, pid: 87300
[2026/09/25 17:50:03:7422] N: started process, pid: 87301
[2026/09/25 17:50:03:7436] N: started process, pid: 87302
[2026/09/25 17:50:03:7445] N: started process, pid: 87308
[2026/09/25 17:50:03:7451] N: started process, pid: 87313
[2026/09/25 17:50:03:8510] N: WS closed from (unix skt), clients: 9
[2026/09/25 17:50:03:8510] N: killing process, pid: 87298
[2026/09/25 17:50:03:8513] N: process killed with signal 1, pid: 87298
[2026/09/25 17:50:03:9017] N: WS closed from (unix skt), clients: 8
[2026/09/25 17:50:03:9017] N: killing process, pid: 87308
[2026/09/25 17:50:03:9026] N: process killed with signal 1, pid: 87308
[2026/09/25 17:50:04:0376] N: WS closed from (unix skt), clients: 7
[2026/09/25 17:50:04:0377] N: killing process, pid: 87296
[2026/09/25 17:50:04:0381] N: process killed with signal 0, pid: 87296
