[2026/09/25 20:29:23:8939] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 20:29:23:8971] N: tty configuration:
[2026/09/25 20:29:23:8972] N:   start command: /tmp/tcc-muhtzcqc/attach.sh
[2026/09/25 20:29:23:8972] N:   close signal: SIGHUP (1)
[2026/09/25 20:29:23:8972] N:   terminal type: xterm-256color
[2026/09/25 20:29:23:8972] N:   allow url arg: true
[2026/09/25 20:29:23:8972] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 20:29:23:9002] N: elops_init_pt_uv:  Using foreign event loop...
[2026/09/25 20:29:23:9071] N: [null wsi]: lws_socket_bind: vh default unix skt /tmp/tcc-muhtzcqc/ttyd.sock perms 4294967295:4294967295
[2026/09/25 20:29:23:9072] N: [vh|2|default|/tmp/tcc-muhtzcqc/ttyd.sock|/tmp/tcc-muhtzcqc/tt]: lws_socket_bind: source ads (unix skt)
[2026/09/25 20:29:23:9072] N:  Listening on port: 0
[2026/09/25 20:29:24:2781] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 20:29:24:2783] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 20:29:24:2783] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 20:29:24:2783] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 20:29:24:2783] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 20:29:24:2783] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 20:29:24:2784] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 20:29:24:2784] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 20:29:24:2786] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 20:29:24:2788] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 20:29:24:2815] N: started process, pid: 17106
[2026/09/25 20:29:24:2826] N: started process, pid: 17107
[2026/09/25 20:29:24:2838] N: started process, pid: 17109
[2026/09/25 20:29:24:2864] N: started process, pid: 17111
[2026/09/25 20:29:24:2870] N: started process, pid: 17113
[2026/09/25 20:29:24:2888] N: started process, pid: 17114
[2026/09/25 20:29:24:2906] N: started process, pid: 17115
[2026/09/25 20:29:24:2933] N: started process, pid: 17118
[2026/09/25 20:29:24:2948] N: started process, pid: 17120
[2026/09/25 20:29:24:2968] N: started process, pid: 17121
[2026/09/25 20:29:24:9372] N: WS closed from (unix skt), clients: 9
[2026/09/25 20:29:24:9373] N: killing process, pid: 17111
[2026/09/25 20:29:24:9387] N: process killed with signal 1, pid: 17111
[2026/09/25 20:29:24:9813] N: WS closed from (unix skt), clients: 8
[2026/09/25 20:29:24:9813] N: killing process, pid: 17115
[2026/09/25 20:29:25:0038] N: WS closed from (unix skt), clients: 7
[2026/09/25 20:29:25:0038] N: killing process, pid: 17120
[2026/09/25 20:29:25:0058] N: process killed with signal 1, pid: 17120
[2026/09/25 20:29:25:1380] N: process killed with signal 0, pid: 17115
[2026/09/25 20:29:25:2372] N: WS closed from (unix skt), clients: 6
[2026/09/25 20:29:25:2373] N: killing process, pid: 17107
[2026/09/25 20:29:25:2436] N: process killed with signal 0, pid: 17107
[2026/09/25 20:29:25:3378] N: WS closed from (unix skt), clients: 5
[2026/09/25 20:29:25:3379] N: killing process, pid: 17114
[2026/09/25 20:29:25:3391] N: WS closed from (unix skt), clients: 4
[2026/09/25 20:29:25:3391] N: killing process, pid: 17106
[2026/09/25 20:29:25:3401] N: process killed with signal 0, pid: 17114
[2026/09/25 20:29:25:3408] N: process killed with signal 0, pid: 17106
[2026/09/25 20:29:25:5736] N: WS closed from (unix skt), clients: 3
[2026/09/25 20:29:25:5737] N: killing process, pid: 17109
[2026/09/25 20:29:25:5755] N: process killed with signal 0, pid: 17109
[2026/09/25 20:29:25:6858] N: WS closed from (unix skt), clients: 2
[2026/09/25 20:29:25:6859] N: killing process, pid: 17118
[2026/09/25 20:29:25:6870] N: process killed with signal 0, pid: 17118
[2026/09/25 20:29:26:2833] N: WS closed from (unix skt), clients: 1
[2026/09/25 20:29:26:2833] N: killing process, pid: 17113
[2026/09/25 20:29:26:2833] N: WS closed from (unix skt), clients: 0
[2026/09/25 20:29:26:2833] N: killing process, pid: 17121
[2026/09/25 20:29:26:2892] N: process killed with signal 0, pid: 17113
[2026/09/25 20:29:26:2893] N: process killed with signal 0, pid: 17121
[2026/09/25 20:29:26:3117] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 20:29:26:3118] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 20:29:26:3120] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 20:29:26:3120] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 20:29:26:3121] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 20:29:26:3121] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 20:29:26:3121] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 20:29:26:3121] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 20:29:26:3121] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 20:29:26:3122] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 20:29:26:3138] N: started process, pid: 17927
[2026/09/25 20:29:26:3152] N: started process, pid: 17928
[2026/09/25 20:29:26:3187] N: started process, pid: 17930
[2026/09/25 20:29:26:3217] N: started process, pid: 17931
[2026/09/25 20:29:26:3229] N: started process, pid: 17932
[2026/09/25 20:29:26:3241] N: started process, pid: 17933
[2026/09/25 20:29:26:3252] N: started process, pid: 17934
[2026/09/25 20:29:26:3275] N: started process, pid: 17936
[2026/09/25 20:29:26:3288] N: started process, pid: 17940
[2026/09/25 20:29:26:3296] N: started process, pid: 17941
[2026/09/25 20:29:26:6333] N: WS closed from (unix skt), clients: 9
[2026/09/25 20:29:26:6333] N: killing process, pid: 17927
[2026/09/25 20:29:26:8162] N: process killed with signal 0, pid: 17927
[2026/09/25 20:29:26:8724] N: WS closed from (unix skt), clients: 8
[2026/09/25 20:29:26:8725] N: killing process, pid: 17933
[2026/09/25 20:29:26:9304] N: WS closed from (unix skt), clients: 7
[2026/09/25 20:29:26:9304] N: killing process, pid: 17928
[2026/09/25 20:29:26:9307] N: process killed with signal 1, pid: 17928
[2026/09/25 20:29:26:9425] N: WS closed from (unix skt), clients: 6
[2026/09/25 20:29:26:9426] N: killing process, pid: 17931
[2026/09/25 20:29:26:9431] N: process killed with signal 1, pid: 17931
[2026/09/25 20:29:27:0141] N: WS closed from (unix skt), clients: 5
[2026/09/25 20:29:27:0142] N: killing process, pid: 17934
[2026/09/25 20:29:27:0146] N: process killed with signal 1, pid: 17934
[2026/09/25 20:29:27:0486] N: process killed with signal 0, pid: 17933
[2026/09/25 20:29:27:0750] N: WS closed from (unix skt), clients: 4
[2026/09/25 20:29:27:0751] N: killing process, pid: 17940
[2026/09/25 20:29:27:0755] N: process killed with signal 1, pid: 17940
[2026/09/25 20:29:27:4326] N: WS closed from (unix skt), clients: 3
[2026/09/25 20:29:27:4327] N: killing process, pid: 17930
[2026/09/25 20:29:27:4332] N: process killed with signal 0, pid: 17930
[2026/09/25 20:29:27:7519] N: WS closed from (unix skt), clients: 2
[2026/09/25 20:29:27:7519] N: killing process, pid: 17936
[2026/09/25 20:29:27:7524] N: process killed with signal 0, pid: 17936
[2026/09/25 20:29:28:3133] N: WS closed from (unix skt), clients: 1
[2026/09/25 20:29:28:3133] N: killing process, pid: 17932
