[2026/09/25 22:48:38:6574] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 22:48:38:6576] N: tty configuration:
[2026/09/25 22:48:38:6576] N:   start command: /tmp/tcc-muhyyffw/attach.sh
[2026/09/25 22:48:38:6576] N:   close signal: SIGHUP (1)
[2026/09/25 22:48:38:6577] N:   terminal type: xterm-256color
[2026/09/25 22:48:38:6577] N:   allow url arg: true
[2026/09/25 22:48:38:6577] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 22:48:38:6589] N: elops_init_pt_uv:  Using foreign event loop...
[2026/09/25 22:48:38:6598] N: [null wsi]: lws_socket_bind: vh default unix skt /tmp/tcc-muhyyffw/ttyd.sock perms 4294967295:4294967295
[2026/09/25 22:48:38:6598] N: [vh|2|default|/tmp/tcc-muhyyffw/ttyd.sock|/tmp/tcc-muhyyffw/tt]: lws_socket_bind: source ads (unix skt)
[2026/09/25 22:48:38:6598] N:  Listening on port: 0
[2026/09/25 22:48:38:8141] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:38:8141] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 22:48:38:8141] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 22:48:38:8141] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 22:48:38:8141] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 22:48:38:8141] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 22:48:38:8142] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 22:48:38:8142] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 22:48:38:8142] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 22:48:38:8143] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 22:48:38:8156] N: started process, pid: 34007
[2026/09/25 22:48:38:8159] N: started process, pid: 34008
[2026/09/25 22:48:38:8162] N: started process, pid: 34009
[2026/09/25 22:48:38:8166] N: started process, pid: 34010
[2026/09/25 22:48:38:8170] N: started process, pid: 34011
[2026/09/25 22:48:38:8175] N: started process, pid: 34012
[2026/09/25 22:48:38:8179] N: started process, pid: 34013
[2026/09/25 22:48:38:8182] N: started process, pid: 34014
[2026/09/25 22:48:38:8185] N: started process, pid: 34015
[2026/09/25 22:48:38:8188] N: started process, pid: 34016
[2026/09/25 22:48:39:0182] N: WS closed from (unix skt), clients: 9
[2026/09/25 22:48:39:0182] N: killing process, pid: 34010
[2026/09/25 22:48:39:0185] N: process killed with signal 1, pid: 34010
[2026/09/25 22:48:39:0659] N: WS closed from (unix skt), clients: 8
[2026/09/25 22:48:39:0660] N: killing process, pid: 34015
[2026/09/25 22:48:39:0662] N: process killed with signal 1, pid: 34015
[2026/09/25 22:48:39:1942] N: WS closed from (unix skt), clients: 7
[2026/09/25 22:48:39:1942] N: killing process, pid: 34008
[2026/09/25 22:48:39:1946] N: process killed with signal 0, pid: 34008
[2026/09/25 22:48:39:2193] N: WS closed from (unix skt), clients: 6
[2026/09/25 22:48:39:2193] N: killing process, pid: 34013
[2026/09/25 22:48:39:2197] N: process killed with signal 0, pid: 34013
[2026/09/25 22:48:39:2428] N: WS closed from (unix skt), clients: 5
[2026/09/25 22:48:39:2428] N: killing process, pid: 34007
[2026/09/25 22:48:39:2432] N: process killed with signal 0, pid: 34007
[2026/09/25 22:48:39:2815] N: WS closed from (unix skt), clients: 4
[2026/09/25 22:48:39:2815] N: killing process, pid: 34012
[2026/09/25 22:48:39:2821] N: process killed with signal 0, pid: 34012
[2026/09/25 22:48:39:7312] N: WS closed from (unix skt), clients: 3
[2026/09/25 22:48:39:7313] N: killing process, pid: 34009
[2026/09/25 22:48:39:7320] N: process killed with signal 0, pid: 34009
[2026/09/25 22:48:39:7835] N: WS closed from (unix skt), clients: 2
[2026/09/25 22:48:39:7835] N: killing process, pid: 34014
[2026/09/25 22:48:39:7846] N: process killed with signal 0, pid: 34014
[2026/09/25 22:48:40:8164] N: WS closed from (unix skt), clients: 1
[2026/09/25 22:48:40:8165] N: killing process, pid: 34011
[2026/09/25 22:48:40:8167] N: WS closed from (unix skt), clients: 0
[2026/09/25 22:48:40:8168] N: killing process, pid: 34016
[2026/09/25 22:48:40:8188] N: process killed with signal 0, pid: 34011
[2026/09/25 22:48:40:8189] N: process killed with signal 0, pid: 34016
[2026/09/25 22:48:40:8421] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:40:8422] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 22:48:40:8422] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 22:48:40:8422] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 22:48:40:8423] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 22:48:40:8423] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 22:48:40:8423] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 22:48:40:8423] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 22:48:40:8423] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 22:48:40:8423] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 22:48:40:8436] N: started process, pid: 34250
[2026/09/25 22:48:40:8443] N: started process, pid: 34251
[2026/09/25 22:48:40:8450] N: started process, pid: 34252
[2026/09/25 22:48:40:8462] N: started process, pid: 34253
[2026/09/25 22:48:40:8472] N: started process, pid: 34254
[2026/09/25 22:48:40:8482] N: started process, pid: 34255
[2026/09/25 22:48:40:8495] N: started process, pid: 34256
[2026/09/25 22:48:40:8516] N: started process, pid: 34259
[2026/09/25 22:48:40:8541] N: started process, pid: 34267
[2026/09/25 22:48:40:8555] N: started process, pid: 34272
[2026/09/25 22:48:40:9070] N: WS closed from (unix skt), clients: 9
[2026/09/25 22:48:40:9071] N: killing process, pid: 34251
[2026/09/25 22:48:40:9075] N: process killed with signal 1, pid: 34251
[2026/09/25 22:48:40:9826] N: WS closed from (unix skt), clients: 8
[2026/09/25 22:48:40:9826] N: killing process, pid: 34255
[2026/09/25 22:48:40:9828] N: process killed with signal 1, pid: 34255
[2026/09/25 22:48:41:1481] N: WS closed from (unix skt), clients: 7
[2026/09/25 22:48:41:1481] N: killing process, pid: 34250
[2026/09/25 22:48:41:1485] N: process killed with signal 0, pid: 34250
[2026/09/25 22:48:41:1602] N: WS closed from (unix skt), clients: 6
[2026/09/25 22:48:41:1602] N: killing process, pid: 34253
[2026/09/25 22:48:41:1605] N: process killed with signal 0, pid: 34253
[2026/09/25 22:48:41:1958] N: WS closed from (unix skt), clients: 5
[2026/09/25 22:48:41:1958] N: killing process, pid: 34259
[2026/09/25 22:48:41:1963] N: process killed with signal 0, pid: 34259
[2026/09/25 22:48:41:2191] N: WS closed from (unix skt), clients: 4
[2026/09/25 22:48:41:2191] N: killing process, pid: 34267
[2026/09/25 22:48:41:2195] N: process killed with signal 0, pid: 34267
[2026/09/25 22:48:41:7204] N: WS closed from (unix skt), clients: 3
[2026/09/25 22:48:41:7205] N: killing process, pid: 34254
[2026/09/25 22:48:41:7206] N: WS closed from (unix skt), clients: 2
[2026/09/25 22:48:41:7206] N: killing process, pid: 34272
[2026/09/25 22:48:41:7216] N: process killed with signal 0, pid: 34254
[2026/09/25 22:48:41:7216] N: process killed with signal 0, pid: 34272
[2026/09/25 22:48:42:8427] N: WS closed from (unix skt), clients: 1
[2026/09/25 22:48:42:8428] N: killing process, pid: 34256
[2026/09/25 22:48:42:8428] N: WS closed from (unix skt), clients: 0
[2026/09/25 22:48:42:8429] N: killing process, pid: 34252
[2026/09/25 22:48:42:8435] N: process killed with signal 0, pid: 34252
[2026/09/25 22:48:42:8437] N: process killed with signal 0, pid: 34256
[2026/09/25 22:48:42:8494] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:42:8494] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 22:48:42:8494] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 22:48:42:8494] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 22:48:42:8494] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 22:48:42:8495] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 22:48:42:8495] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 22:48:42:8495] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 22:48:42:8495] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 22:48:42:8495] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 22:48:42:8501] N: started process, pid: 35079
[2026/09/25 22:48:42:8505] N: started process, pid: 35080
[2026/09/25 22:48:42:8510] N: started process, pid: 35081
[2026/09/25 22:48:42:8517] N: started process, pid: 35082
[2026/09/25 22:48:42:8522] N: started process, pid: 35083
[2026/09/25 22:48:42:8528] N: started process, pid: 35084
[2026/09/25 22:48:42:8542] N: started process, pid: 35086
[2026/09/25 22:48:42:8547] N: started process, pid: 35094
[2026/09/25 22:48:42:8564] N: started process, pid: 35098
[2026/09/25 22:48:42:8572] N: started process, pid: 35103
[2026/09/25 22:48:42:9837] N: WS closed from (unix skt), clients: 9
[2026/09/25 22:48:42:9837] N: killing process, pid: 35083
[2026/09/25 22:48:42:9841] N: process killed with signal 1, pid: 35083
[2026/09/25 22:48:43:0103] N: WS closed from (unix skt), clients: 8
[2026/09/25 22:48:43:0103] N: killing process, pid: 35103
[2026/09/25 22:48:43:0108] N: process killed with signal 1, pid: 35103
[2026/09/25 22:48:43:1196] N: WS closed from (unix skt), clients: 7
[2026/09/25 22:48:43:1196] N: killing process, pid: 35079
[2026/09/25 22:48:43:1200] N: process killed with signal 0, pid: 35079
[2026/09/25 22:48:43:1477] N: WS closed from (unix skt), clients: 6
[2026/09/25 22:48:43:1477] N: killing process, pid: 35081
[2026/09/25 22:48:43:1481] N: process killed with signal 0, pid: 35081
[2026/09/25 22:48:43:1980] N: WS closed from (unix skt), clients: 5
[2026/09/25 22:48:43:1980] N: killing process, pid: 35094
[2026/09/25 22:48:43:1984] N: process killed with signal 0, pid: 35094
[2026/09/25 22:48:43:2241] N: WS closed from (unix skt), clients: 4
[2026/09/25 22:48:43:2242] N: killing process, pid: 35086
[2026/09/25 22:48:43:2245] N: process killed with signal 0, pid: 35086
[2026/09/25 22:48:43:6604] N: WS closed from (unix skt), clients: 3
[2026/09/25 22:48:43:6604] N: killing process, pid: 35082
[2026/09/25 22:48:43:6608] N: process killed with signal 0, pid: 35082
[2026/09/25 22:48:43:7235] N: WS closed from (unix skt), clients: 2
[2026/09/25 22:48:43:7235] N: killing process, pid: 35098
[2026/09/25 22:48:43:7244] N: process killed with signal 0, pid: 35098
[2026/09/25 22:48:44:8502] N: WS closed from (unix skt), clients: 1
[2026/09/25 22:48:44:8502] N: killing process, pid: 35084
[2026/09/25 22:48:44:8503] N: WS closed from (unix skt), clients: 0
[2026/09/25 22:48:44:8503] N: killing process, pid: 35080
[2026/09/25 22:48:44:8523] N: process killed with signal 0, pid: 35080
[2026/09/25 22:48:44:8523] N: process killed with signal 0, pid: 35084
[2026/09/25 22:48:44:8646] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:44:8646] N: WS   /ws - (unix skt), clients: 2
